Program Code,Vendor Name,Description,Amount,Transaction Date,Period,Category,Subcategory,Invoice Number,Reference Number,Transaction ID
Test.2025,21575 Tomorrow.io IL (Self Invoice),Project Management: PM Allocation,1666.67,01/05/2025,2025-01,Project Management,PM Allocation,INV-TOM-2025-01,REF-TOM-001,TXN-TOM-001
Test.2025,20001 ClimaCell IL,Software Development: Software Development,5000.00,01/08/2025,2025-01,Software Development,Software Development,INV-CC-2025-01,REF-CC-001,TXN-CC-001
Test.2025,21880 DesignLinx Hardware Solutions, Inc.,Testing & QA: Test,1666.67,01/10/2025,2025-01,Testing & QA,Test,INV-DL-2025-01,REF-DL-001,TXN-DL-001
Test.2025,20001 ClimaCell IL,Software Development: Software Development,5000.00,02/03/2025,2025-02,Software Development,Software Development,INV-CC-2025-02,REF-CC-002,TXN-CC-002
Test.2025,21575 Tomorrow.io IL (Self Invoice),Project Management: PM Allocation,1666.67,02/05/2025,2025-02,Project Management,PM Allocation,INV-TOM-2025-02,REF-TOM-002,TXN-TOM-002
Test.2025,21880 DesignLinx Hardware Solutions, Inc.,Testing & QA: Test,1666.67,02/07/2025,2025-02,Testing & QA,Test,INV-DL-2025-02,REF-DL-002,TXN-DL-002
Test.2025,21575 Tomorrow.io IL (Self Invoice),Project Management: PM Allocation,1666.67,03/04/2025,2025-03,Project Management,PM Allocation,INV-TOM-2025-03,REF-TOM-003,TXN-TOM-003
Test.2025,20001 ClimaCell IL,Software Development: Software Development,5000.00,03/06/2025,2025-03,Software Development,Software Development,INV-CC-2025-03,REF-CC-003,TXN-CC-003
Test.2025,21880 DesignLinx Hardware Solutions, Inc.,Testing & QA: Test,1666.67,03/08/2025,2025-03,Testing & QA,Test,INV-DL-2025-03,REF-DL-003,TXN-DL-003
Test.2025,21575 Tomorrow.io IL (Self Invoice),Project Management: PM Allocation,1666.67,04/02/2025,2025-04,Project Management,PM Allocation,INV-TOM-2025-04,REF-TOM-004,TXN-TOM-004
Test.2025,21880 DesignLinx Hardware Solutions, Inc.,Testing & QA: Test,1666.67,04/05/2025,2025-04,Testing & QA,Test,INV-DL-2025-04,REF-DL-004,TXN-DL-004

